get: 4.838000 s
cached get: 3.036000 s

and for the super cached:
5; 1,333000
6; 1,180000
7; 1,090000
8; 0,965000
9; 0,893000
10; 0,987000
11; 1,110000
12; 0,780000
13; 0,841000
14; 0,688000
15; 0,614000
16; 0,608000
17; 0,677000
18; 0,663000
19; 0,528000
20; 0,501000
21; 0,475000
22; 0,435000
23; 0,432000
24; 0,451000
25; 0,409000
26; 0,399000
27; 0,404000
28; 0,390000
29; 0,343000
30; 0,346000
31; 0,334000
32; 0,341000
33; 0,316000
34; 0,323000
35; 0,315000
36; 0,358000
37; 0,327000
38; 0,311000
39; 0,430000
40; 0,351000
41; 0,294000
42; 0,299000
43; 0,274000
44; 0,264000
45; 0,267000
46; 0,253000
47; 0,256000
48; 0,239000
49; 0,249000
50; 0,242000
51; 0,245000
52; 0,224000
53; 0,252000
54; 0,221000
55; 0,230000
56; 0,266000
57; 0,246000
58; 0,274000
59; 0,316000
60; 0,503000
61; 0,258000
62; 0,257000
63; 0,206000
64; 0,233000
65; 0,228000
66; 0,212000
67; 0,195000
68; 0,200000
69; 0,210000
70; 0,189000
71; 0,202000
72; 0,226000
73; 0,197000
74; 0,188000
75; 0,196000
76; 0,183000
77; 0,191000
78; 0,193000
79; 0,209000
80; 0,286000
81; 0,241000
82; 0,266000
83; 0,197000
84; 0,167000
85; 0,184000
86; 0,225000
87; 0,249000
88; 0,197000
89; 0,254000
90; 0,375000
91; 0,300000
92; 0,189000
93; 0,181000
94; 0,181000
95; 0,204000
96; 0,176000
97; 0,189000
98; 0,175000
99; 0,204000
